"143", "DNM 7.19 [laṁpikkhō]", "BKMS ammikō"
"144", "DNM 2.20 [kalamō]", ""
"145", "DNM 2.66 [kubhilō]", "BVI kubilō, T kuvilō"
"146", "DNM 4.49 [girakō]", "MS ṇirikō; T ṇirakō"
"147", "DNM 1.101 [ucchaṭṭō or ōcchaṭō]", "B vacchallō, M vaṁchalō; T ōccaḍḍō"
"148", "DNM 2.10", "Bp. vairī, K vaira for cōra "
"149", "DNM 1.10 [ahillō]", "B (ahallō); M. ahilī"
"150", "DNM 5.62", ".•T yaṇī"
"151", "DNM 3.45 [jakaasukaō]", ""
"152", "?", "MS jhāmarō; T jhāmurō"
"153", "DNM 6.55 [purupuriā]", "ST puḍarīā"
"154", "DNM 8.39", "B hadda, T hathaḥ"
"155", "?", "K piḍillikā; M piṁḍilikā; S paḍillikā; T paḍillirō"
"156", "DNM 8.7 [sabhullō]", "B sacullō, T sicillō"
"157", "DNM 3.51 [jōvvaṇavēa]", ""
"158", "DNM 3.51 [jōvvaṇaṇāraṁ]", "BT jōvvaṇiṇī"
"159", "DNM 3.51 [jōvvaṇōvayaṁ ?]", "B jōṇira. B jāraḥ for jarā"
"160", "DNM 6.36", "B ciḍiṇisaṇa, K piḍiṇiasaṇa"
"161", "DNM 6.21", "KMS paḍivēsā. Bp vikōpaḥ for vikṣēpaḥ"
"162", "DNM 6.19 [paḍikaō  pratikriyā]", "KS paḍikiā"
"163", "DNM 6.31 [paḍujuvaī]", "S paḍujja- aṇi;T vasujjayaṇī",
"164", "DNM 2.24", "After kuṇiā BT add kuviā; DNM does not record it"
"165", "DNM 2.24 [kucchilla]", "K kucchiṇṇi; S kudhiṇi"
"166", "DNM 2.24 [kaṭhadāṇārōṁ]", "B kaḍaḍiṇārō, K kaṭadiṇārō or kaladiṇārō, S kaḍuchiṇālō. B prativivara; K prativiparaṁ for vr̥tivivaram"
"167", "DNM 5.29 [thēvaria]", "K sujanmani for sutajanma ni"
"168", "DNM 1.35 [akkha- vāyā]", "M aṁkhavāā, T akkhapāā"
"169", "?", "B mikkhaṁ, M mēṁkha"
"170", "?", "MS pāhivāaḍā lavanā"
"171", "DNM 6.51", "BKMS piḍarai"
"172", "DNM 1.154", "B āralī, M āraṁlī"
"173", "DNM 6.61 [pōaḍō]", "M pōaṁgō; T vōaṁgō"
"174", "DNM 1.87 [ukkadī]", "M ukaṭi"
"175", "DNM 4.44 [licchī]", "BT ṇalacchiā,K ṇilacchiā,M ṇilaṁkiā"
"176", "DNM 4.11 [ḍōō] or DNM 4.11 [ḍughō dāhastaḥ]", "from Telugu ḍōkī. BM ḍōkō, T ḍōkkā. KM vanādērjalānayanayatra for nipānādē...ryantram"
"177", "DNM 2.28 [kāyadī]", "B kāaṁbī"
"178", "DNM 2.28 [kāṇā]", "M kāṇaḍī, T kāṇaṭṭī"
"179", "DNM 6.89 [bakkara]", "MS vaṁkarō, T vakkārō"
"180", "DNM 2.80", "B khāḍō; T khasō"
"181", "DNM 1.107 [utthali]", "M uṁchalavō, T ōtthalaō"
"182", "DNM 6.4 [pauḍhē]", "KMS vr̥duḍhaṁ"
"183", "?", "T mēlia"
"184", "", "B appada; S uppitthaṁ; T pautthaṁ"
"185", "?", "KMS thajō (1); T thēṭō"
"186", "DNM 1.109", "B uluhattō"
"187", "DNM 4.13 [ḍhakō]", "B ḍakō, T ḍhakō"
"188", "DNM 7.49 [vasabhuddhō]", "B vasutuṭṭō; T vasatuṭṭō"
"189", "DNM 6.94", "M buṁkaṇō, T pukaṇō"
"190", "DNM 6.112", ""
"191", "DNM 6.112", ""
"192", "DNM 3.4 [caṁcappara]", "M cacuparaṁ; T; vapupparī; T. capupparī"
"193", "DNM 3.14", "B reads muṣṭiḥ after tittī (200)"
"194", "DNM 6.79", "BKMS puttī"
"195", "DNM 1.56 [aliallī] or 1.24 [ariallī]", ""
"196", "?", "B cittī, M ciṁtī. Cf. cittā in Marathi."
"197", "DNM 3.1 [caḍō]", "B caṇaaṇā, Tcaṁḍaāṇā"
"198", "?", "KS laṁcī; T luppī"
"199", "DNM 2.86", "B gaṇasamā; KS gaṇa- savē"
"200", "DNM 5.11", "KST titi; M tatī"
"201", "DNM 4.9", "T vālī"
"202", "DNM 4.5", "B ṭhāṇā"
"203", "DNM 4.25 [ṇāmōka]", "MS ṇāmuṁka"
"204", "DNM 6.57", "S pēalaṁ"
"205", "?", "BT om. this word. M pējila"
"206", "DNM 2.8+", "T gabhaṇī"
"207", "DNM 2.84 [gaharī gr̥ghna .]", "KS gēharō (lō), M gēhērō"
"208", "?", "T muhuō"
"209", "DNM 7.19", "B baillō (DNM 6.91); T vāullō"
"210", "DNM 6.136 [mukkuruḍō]", "S mukkuruḍō; T muruturuḍō"
"211", "?", "A variant of 210 above"
"212", "DNM 2.109 [ghughuruḍō]", "M ghagharuḍō rāśi pakṣī"
"213", "DNM 1.66 [ālayaṇa]", "T āvasaṇī",
"214", "DNM 1.66 [ālayagaṁ]", ""
"215", "?", "M havasaṭō, T upasaggō"
"216", "DNM 1.104 [uvasēra ratiyōgya]", "M urasērā"
"217", "DNM 1.88 [uṇhiā]", ""
"218", "DNM 1.36 [avarijjō advitīya.]", "BM •om. the word"
"219", "DNM 1.25", "B om. the word. BT itti- riśa; K uttari# for uttarīyam"
"220", "DNM 2.20 [avarikō kṣaṇarahita niravasaraḥ]", "B aṇirika, S avaṇikka"
"221", "?", "B akṣaṇika"
"222", "?", "B om. the word"
"223", "DNM 5.50", "B dēvēlī"
"224", "DNM 1.26 [airipō]", "BT airivō, K airippā"
"225", "DNM 6.59 [pēḍaiō kagādivikrētā]", "BT baḍauō"
"226", "DNM 8 40", "B asadummaṇiā (sadummaṇiēti śīlāṅka)"
"227", "DNM 1.94", "KMS ummallō piṁḍa 2 surāpiṣṭa"
"228", "DNM 7.78 [vēṁḍhasurā kaluṣa' murā]", "BKMS piṁḍa"
"229", "DNM 35 [caḍiārō]", "T viḍiāsō"
"230", "DNM 6.128", "M mālu"
"231", "DNM 5.37", "S daraṁkarō, T darīkarō"
"232", "?", "B uvvalaṁ; M raṁvēla, T uppōllaṁ"
"233", "DNM 1.152 [ōsāō]", "M āmālō"
"234", "DNM 4.37 [ṇicchuḍō]", "B ṇiccaḍḍō, M kiṁciṁḍō, T ṇiccēḍō"
"235", "DNM 4.37", "T ṇighōrā"
"236", "DNM 1.71 [āraṁmiō]", "M ārāniō, T ārayaṁtiō"
"237", "DNM 7.21 [lāsayavihaō]", "B saavimhaō; KS sahavihaō; M sahavimhaō"
"238", "DNM 8.20 [siṁḍhō]", "KM siṁṭō; T siṭṭō"
"239", "DNM 1.65 [ālatthō]"," M āladhaō"
"240", "DNM 1.85", "M kūpādi- kārakaḥ for °khanakā"
"241", "DNM 1.140", "BK isārō"
"242", "DNM 1.120 [uvalabhattā or uvala bhaggā?]", "B uvalahatō; M uvalaḍḍatō, T uvalahatō"
"243", "DNM 8.65 [hilā or hilā]", "M hilā, T bhilā"
"244", "DNM 8.66", "KS kikā, M kikā (Cf. kiṁki dhavalaṁ in DNM 2.31.)"
"245", "DNM 1.114 [upphukiā]", "K upākaā, M upākā; T uppikiā"
"246", "DNM 8.69 [hiṁḍōla hiṁḍōlaya]", "B hiḍḍōlī; T hiḍōlī. DNM kṣētrē mr̥ganiṣēdharavaḥ, kṣētrarakṣaṇayantramiti kīcat"
"247", "DNM 1.61 [ālāsō]", "B āsalō"
"248", "DNM 1.11", "B aliṇēō, K allīṇō or alliyō; T ālīṇō"
"249", "DNM 1.63", "BK jarilō"
"250", "DNM 3.41 [javaṇaṁ]", ""
"251", "DNM 6.120", "T maraṁṭō"
"252", "DNM 2.31 [kilaṇā]", "B kiriṇī"
"253", "DNM 2.62 [kuhiṇī]", "T kuṇa"
"254", "DNM 8.6", "S sāhi"
"255", "DNM 6.39 [pāṇaddhī]", "B pāṇalī, T vāṇaṭhī"
"256", "Sk. T vattaṇī", ""
"257", "DNM 6.144", "S valayō"
"258", "DNM 1.151 [ōggālō]", "Cf. ōghaḷa in Marathi"
"259", "DNM 3.27", "B chinyōlī"
"260", "?", ""
"261",  "DNM 6.22 gr̥hapaścimāṅgaṇam"
"262", "DNM 8.48 [sarēvaō]", "B ṇarivāō"
"263", "DNM 8.48 [sarēvaō]", ""
"264", "DNM 2.15 [kaddamiō]", "S kuṭamiō, T kuṭṭimiō. Bp mūṣaka for mahiṣaḥ"
"265", "DNM 6.5", "T vahaṇī. DNM saṁmukhāgatanirōdhaḥ for °gatinirōdha"
"266", "DNM 2.44 [kēā rajjuḥ]", ""
"267", "DNM 5.11 [tittī sāram]", "B titī"
"268", "DNM 2.21", "S kilaṁ"
"269", "?", "S ukāsārō; T pukkāsarō"
"270", "DNM 6.103 [bhāua]", ""
"271", "DNM 6.110 [bhabhala]", "KS bhaṁgalaaṁ, T bhahaālaṁ"
"272", "DNM 2.38 [kutthuvattha]", "S kōthuhavatthaṁ"
"273", "DNM 2.38 [kōsala]", ""
"274", "?", ""
"275", "DNM 8.54 [sihaḍahillō]", "B chihaṭṭahillō; S chihallahillō; T chiga- ḍahillō"
"276", "DNM 1.73 [āaṁ dīrgham]", "BpT pūā"
"277", "DNM 6.101 [bhaṁḍaṇaṁ]", "S haṁḍava; T haḍava"
"278", "DNM 3.25", ""
"279", "DNM 2.13 [kahēḍō]", ""
"280", "DNM 6.85 [phēṇabaṁdhō]", "BK piṇavaḍō; M piṇavaḍhō; S pēṇavaḍō"
"281", "DNM 1.108", ""
"282", "DNM 2.68 [khaṭaṁga]", ""
"283", "DNM 3.49 [jōḍiō]", "B vōiō, M bōiō, T jōidhī. Bp vyādhiḥ for vyādhaḥ"
"284", "DNM 2.47 [kōlabō]", ""
"285", "DNM 7.63 [vikkhāsō]", "M vēkhāō; S vēbhāsō, T pēkkhāsō"
"286", "A variant of (285)", "BK tēkhāsaō; S tēkhāsavō"
"287", "DNM 8.2", ""
"288", "DNM 1.52", "KMS aralā"
"289", "DNM 8.2", "B saggā; K saggī, S saṁgi"
"290", "DNM 8.2", "B saḍī, S siṁḍi. B ulkā for valkā"
"291", "DNM 2.18", "BKS rāiṇī"
"292", "ṇippattaō ? ", ""
"293", "?", ""
"294", "DNM 2.21", "KS śakraḥ for śukaḥ"
"295", "DNM 4.25", ""
"296", "?", "KS viṁcuō, M viṁchuā. T vippuō"
"297", "DNM 2.5", "B kāha; S kaḍahaṁ"
"298", "DNM 6.10", "B vasaḍḍī, M vasaṁḍī; T vasadhi"
"299", "DNM 1.46", "B alumajjālō; M alumaṁjālō"
"300", "DNM 3.18 [cuṁcumālī]", "T cuccamāliō"
"301", "DNM 6.112 [maṭṭhō]", "BK maḍō"
"302", "DNM 8.55 [sīaṇa]", "M siasaa, S siaṇiaṁ, T dhiaṇaa"
"303", "DNM 2.6", "T kaḍi"
"304", "DNM 1.20, 53", "B apaḍaō; T avaḍi"
"305",  "Sk avaṭaḥ?" ,"T aḍhō"
"306", "DNM 6.39 [pāḍuccī]", "BK vāḍubbī, T pāḍuhahī"
"307", "DNM 6.101", "BK halukkī; MS haluṁkī;T halujaṁ. Cf. bhālū in Marathi"
"308", "DNM 2.74", "B kuvikkhiṇī; M kuvikhiṇī; T khikhaṇaṁ"
"309", "DNM 6.101 [bhuraṁḍiā]", "B curuḍḍī, M curuḍī; T husaṁ"
"310", "DNM 6.101 [masuā]", "T hasaā"
"311", "DNM 6.91 [bahurāvā]", "Ti puhunā, T. puhurā"
"312", "siālī ? Sk śr̥gālī", "B salarī; S salali; T salalī"
"313", "DNM 3.45", "B aī; KS āī"
"314", "?", "T mattakkharī"
"315", "DNM 6.113", "S duī; T mai"
"316", "DNM 8.4 [savisa]", "S sakhisaṁ; T saḷisaṁ"
"317", "DNM 6.35 [paccucchuhaṇī]", "B paccuṭṭāhaṇaṁ; K paccutthāhaṇaṁ; M paṁcuṁ- ṭhāhaṇaṁ, S paccucchāhaṇaṁ; T paccuccuhaṇaṁ"
"318", "DNM 6.20 [paḍitthirō]", "B paḍicchakō; M paḍichikō"
"319", "DNM 8.9 [sacchahōṁ]", "MS sachiō"
"320", "DNM 5.10", "MS tāratarō"
"321", "?", "KMS paḍaḍālā, T pōḍḍālī"
"322", "?", "KS ḍēḍavī, T gīḍuī"
"323", "DNM 6.58 [pēḍārō]", "B paḍārā, T pēḍārō"
"324", "DNM 6.58", "B pēḍḍalō, K piṁḍalō"
"325", "DNM 6.30", "K pasavadakaṁ, M pasavaḍaṁka, T pasarvakaṁ"
"326", "DNM 8.90 [bōlō]", "B jōllō; M jaॉlō"
"327", "DNM 8.64", "BT halibōlō"
"328", "DNM 7.15", ""
"329", "DNM 7.84 [vayalō]", "B sōalō; T paalō"
"330", "DNM 6.120 [malaharō]", "T mahalaharō"
"331", "DNM 6.142 [maṭṭalō]", "T mayaṁ"
"332", "DNM 8.64", "B hallibōlō"
"333", "DNM 1.146", "B ēkkapalillō, K ēkagurillā; M ēkagha- lillā; T ēkavarillō"
"334", "DNM 1.173 [ōsikkhia]", ""
"335", "DNM 2.72 [khaṁdhīdhārō]", "B khaḍḍīdhārā, T khaṁdhīdhārā"
"336", "DNM (paḍaṁsuā)", "S paḍasurā; T. cuḍaṁsuā, T2 puḍusuā"
"337", "DNM 6.10 [panthara r̥ju]", "M pathara; S paddhara, T paḍavaṁ"
"338", "DNM 7.34 [valiā]", ""
"339", "?", ""
"340", "DNM 6.40 [pāṇālī]", "B pāṇālō. M prāṇiyā for pāṇidvayā"
"341", "DNM 4.25", ""
"342", "DNM 6.69 [pañcalō asahana:]", "B patthatthō; S paṁḍhallō, T millō"
"343", "?", "T baliviō"
"344", "?", "B valaḍa- sarō. T valasarō"
"345", "DNM 6.50 [piṁjaruḍō]", "B vijjuraō, M vijuraō; T virahō, BS tēruḍa., K tarudaḥ, T hēruṁḍā"
"346", "DNM 4.27 [ṇihaṇa kulaṁ]", ""
"347", "DNM 1.56", "B allaallikā, T alaallī"
"348", "DNM 1.45 [aṇarāmaō]", ""
"349", "DNM 3.27", "B chivaaṁ; M bhiria, S chivila, 6.14. B paḍḍasugā"
"350", "DNM 1.28 [agalia]", "B agālia,M ajalina, T agalia"
"351", "DNM 1.19 [aṇōlaya]", "B aṇōlō"
"352", "DNM 1.44", "B avaṇiō; T abaaṇṇiō"
"353", "DNM 8.3 [saḍhaya]" ,"KT saḍaa"
"354", "DNM 2.43 [gaddaha]", "KT gaḍahō; S gaḍhahō"
"355", "DNM 8.1", "KST saphaṁ"
"356", "?", "MS gamarōṭa; T amarōṭṭa"
"357", "DNM 3.16 [cuppalō, cuṁbhalō śēkhara.]", "K chucupulaa, M chupulaa, S cuphulaa. cf cubhaḷa in Marathi"
"358", "DNM 6.56 [pēhuṇa]", "KS pihuṇā, T mihuṇē piṁcha"
"359", "DNM 1.37", "KMS aaṇiā"
"360", "DNM 1.37", "S aṁjaaṇasiā tabadha ('); T jaṇaṁsiā. M kapiyaṁ for tāpiccham"
"361", "DNM (karila 2) 2 10 or karailī) 2.17", "T rallī (DNM rallā priyagūḥ 7.1)"
"362", "DNM 4.15 [ḍhaḍhasiō]", ""
"363", "DNM 6.34 [paccabalōkō āsakta]", "K pavvaccalakō; MS pavaṁcalaṁkō; T pavvavakkō"
"364", "DNM 1.97 [uccatyō dr̥ḍhaḥ]", "M uṁcaṁtō; T uccattō"
"365", "DNM 2.98 [gōraṁphiḍa़ī]", "S gōrapaḍiā; T gōrappasiā"
"366", "DNM 7.4 [rapphaḍiā]", "T; duhasiā, T. raṁhasiā"
"367", "DNM 6.90 [bamhaṇī]", "B bamhaṇī, S bamhāhi"
"368", "DNM 3.26 [chāhī]", "1 gamanaṁ, T gahana for gaganam"
"369", "DNM 1.10 [aṇatta]", "T, aṇāstha, T2 anātta"
"370", "?", "M paṁdhaṇa; T patthaṇī"
"371", "DNM 2.16 [karayarī]", "M karasaḍī; T karaḍī"
"372", "DNM 1.42", "B aḍaḍārighōṁ; M aḍaudhikṣa, T aḍaaijūjhiōṁ"
"373", "DNM 4.19 [gajjharō]", "T ṇajjharī"
"374", "DNM 1.23 [aliāra]", ""
"375", "?", "B piuliṁ; T piuṇi"
"376", "DNM 2.23 [cuculi]", "B cucci- lia, M cucilia; T culiṭa"
"377", "DNM 2.18 [cuculipūrō]", "M cuṁciliārō; T cuculipūrō"
"378", "DNM 6.118 [mauradō]", "K mōrada, S mōraṁḍaṁ T mēramadaṁ"
"379", "", ""
"380", "DNM 1.62 [āvaṁgō]", "B āvagō; K avaggō, M avagō; T āpaṁgō"
"381", "DNM 6.3", "M pacura, T vappurī"
"382", "DNM 2.30", ""
"383", "DNM 3.35", "T ciillō"
"384", "DNM 3.47", "B jullō"
"385", "Sk. chēkaḥ", ""
"386", "DNM 8.37 [sulasa]", "BK sulōsō; T sulēsō"
"387", "DNM 1.27 [ahirīō]", ""
"388", "DNM 6.82 [phalahī]", ""
"389", "DNM 3.17", "KS culōḍaō, T cullōlaō"
"390", "DNM 5.32", "B tāō; T thēō"
"391", "DNM 8.56 [sujjhaōṁ]", "BKS sughaō; S sukhaō; Tsujjhuō"
"392", "DNM 1,74 [āaraṁ udūkhalam]", "T āarī"
"393", "DNM 2.56", "BT kaḍattaṁ"
"394", "DNM 1.32", ""
"395", "DNM 4.26", ""
